state,electorate,site_id,latitude,longitude,legs,description,layout_1,layout_1_enter,layout_2,layout_2_enter,layout_3,layout_3_enter,layout_4,layout_4_enter,layout_5,layout_5_enter,layout_6,layout_6_enter,leg1-2,leg1-3,leg1-4,leg1-5,leg1-6,leg2-1,leg2-3,leg2-4,leg2-5,leg2-6,leg3-1,leg3-2,leg3-4,leg3-5,leg3-6,leg4-1,leg4-2,leg4-3,leg4-5,leg4-6,leg5-1,leg5-2,leg5-3,leg5-4,leg5-6,leg6-1,leg6-2,leg6-3,leg6-4,leg6-5,leg1_enter,leg1_exit,leg1_total,leg2_enter,leg2_exit,leg2_total,leg3_enter,leg3_exit,leg3_total,leg4_enter,leg4_exit,leg4_total,leg5_enter,leg5_exit,leg5_total,leg6_enter,leg6_exit,leg6_total,female,male,not known,total,year,7:00 AM,7:15 AM,7:30 AM,7:45 AM,8:00 AM,8:15 AM,8:30 AM,8:45 AM,location,geolocation
VIC,Melbourne,4435,-37.816005,144.972394,4,"Flinders St [E], Batman Ave [SE], Flinders St [W], Exhibition St (city) [N]",70,250,146,326,250,70,340,160,,,,,3,80,6,,,78,17,415,,,53,5,27,,,4,31,48,,,,,,,,,,,,,89,135,224,510,39,549,85,145,230,83,448,531,,,,,,,176,590,1,767,2017,44,80,79,95,121,137,119,92,POINT (144.972394 -37.816005),"-37.816005, 144.972394"
VIC,Melbourne,4438,-37.818619,144.970248,3,"Princes Walk [E], Low Path to river bank [SW], High Path to Swanston St [W]",85,265,245,65,278,98,,,,,,,547,489,,,,101,12,,,,109,3,,,,,,,,,,,,,,,,,,,1036,210,1246,113,550,663,112,501,613,,,,,,,,,,271,990,0,1261,2017,97,117,139,179,190,190,175,174,POINT (144.970248 -37.818619),"-37.818619, 144.970248"
VIC,Melbourne,4446,-37.823105,144.977808,2,"Upstream direction [SE], Capital City Trail [NW]",143,323,323,143,,,,,,,,,1171,,,,,72,,,,,,,,,,,,,,,,,,,,,,,,,1171,72,1243,72,1171,1243,,,,,,,,,,,,,209,1034,0,1243,2017,88,117,159,188,219,172,181,119,POINT (144.977808 -37.823105),"-37.823105, 144.977808"
VIC,Melbourne,4447,-37.823317,144.970126,4,"Linlithgow Ave [E], St Kilda Rd [S], Southbank Blvd [W], St Kilda Rd [N]",70,250,160,340,250,70,340,160,,,,,11,59,45,,,13,28,703,,,18,25,54,,,12,480,82,,,,,,,,,,,,,115,43,158,744,516,1260,97,169,266,574,802,1376,,,,,,,429,1100,1,1530,2017,81,112,149,198,234,245,275,236,POINT (144.970126 -37.823317),"-37.823317, 144.970126"
VIC,Melbourne,4411,-37.796627,144.951172,4,"Gatehouse St [NE], Flemington Rd [SE], Harker St [SW], Flemington Rd [NW]",45,225,135,315,225,45,315,135,,,,,33,72,5,,,8,4,36,,,26,19,6,,,25,360,2,,,,,,,,,,,,,110,59,169,48,412,460,51,78,129,387,47,434,,,,,,,205,381,10,596,2017,39,72,0,69,78,105,134,99,POINT (144.951172 -37.796627),"-37.796627, 144.951172"
VIC,Melbourne,4423,-37.810334,144.961361,4,"La Trobe towards Exhibition St [E], Elizabeth St [S], La Trobe St [W], Elizabeth St [N]",70,250,160,340,250,70,340,160,,,,,67,420,13,,,1,4,39,,,178,29,7,,,18,235,18,,,,,,,,,,,,,500,197,697,44,331,375,214,442,656,271,59,330,,,,,,,283,743,3,1029,2017,46,70,90,122,161,175,187,178,POINT (144.961361 -37.810334),"-37.810334, 144.961361"
VIC,Melbourne,4430,-37.81321,144.951431,4,"La Trobe St [E], Spencer St [S], La Trobe St [W], Spencer St [N]",70,250,160,340,250,70,340,160,,,,,17,195,5,,,15,4,30,,,355,30,0,,,4,50,5,,,,,,,,,,,,,217,374,591,49,97,146,385,204,589,59,35,94,,,,,,,165,545,0,710,2017,45,41,86,89,115,110,110,114,POINT (144.951431 -37.81321),"-37.81321, 144.951431"
VIC,Melbourne,4442,-37.821009,144.947427,4,"Collins St (city) [E], Harbour Esp [S], Collins St [W], Harbour Esp [N]",70,250,168,348,250,70,345,165,,,,,25,7,5,,,17,2,235,,,11,0,1,,,127,640,5,,,,,,,,,,,,,37,155,192,254,665,919,12,14,26,772,241,1013,,,,,,,245,827,3,1075,2017,66,99,113,144,191,161,168,133,POINT (144.947427 -37.821009),"-37.821009, 144.947427"
VIC,Melbourne,4445,-37.823025,144.97644,2,"Upstream direction [SE], Capital City Trail [NW]",143,323,323,143,,,,,,,,,427,,,,,119,,,,,,,,,,,,,,,,,,,,,,,,,427,119,546,119,427,546,,,,,,,,,,,,,141,404,1,546,2017,63,23,103,35,132,34,129,27,POINT (144.97644 -37.823025),"-37.823025, 144.97644"
VIC,Melbourne,4406,-37.794117,144.927689,4,"McCracken St [N], Macaulay Rd [E], Kensington Rd [SW], Epsom [NW]",0,180,98,278,233,53,323,143,,,,,4,3,0,,,0,8,5,,,1,26,2,,,5,56,4,,,,,,,,,,,,,7,6,13,13,86,99,29,15,44,65,7,72,,,,,,,36,78,0,114,2017,9,8,15,17,14,16,17,18,POINT (144.927689 -37.79411700000001),"-37.794117, 144.927689"
VIC,Melbourne,4408,-37.795096,144.935852,4,"Upstream direction [N], Macaulay Rd [E], Moonee Ponds Crk Trail [S], Macaulay Rd [W]",7,187,98,278,180,0,278,98,,,,,6,763,1,,,2,7,23,,,79,5,18,,,14,196,78,,,,,,,,,,,,,770,95,865,32,207,239,102,848,950,288,42,330,,,,,,,319,869,4,1192,2017,95,102,181,159,185,189,163,118,POINT (144.935852 -37.795096),"-37.795096, 144.935852"
VIC,Melbourne,4418,-37.809248,144.972971,4,"Nicholson St [N], Albert St [E], Nicholson St [S], Lonsdale St [W]",8,188,98,278,188,8,250,70,,,,,25,121,14,,,27,48,180,,,19,3,3,,,4,28,0,,,,,,,,,,,,,160,50,210,255,56,311,25,169,194,32,197,229,,,,,,,145,327,0,472,2017,30,32,50,49,81,79,88,63,POINT (144.972971 -37.809248),"-37.809248, 144.972971"
